k,n,trials,cumulative_detection_prob,survival_prob,theoretical_survival,theoretical_cumulative,error_mode,seed
1,100,100000,0.99996,4.0000000000040004e-05,0.5,0.5,dense,123
2,100,100000,1.0,0.0,0.25,0.75,dense,123
3,100,100000,1.0,0.0,0.125,0.875,dense,123
4,100,100000,1.0,0.0,0.0625,0.9375,dense,123
5,100,100000,1.0,0.0,0.03125,0.96875,dense,123
6,100,100000,1.0,0.0,0.015625,0.984375,dense,123
7,100,100000,1.0,0.0,0.0078125,0.9921875,dense,123
8,100,100000,1.0,0.0,0.00390625,0.99609375,dense,123
9,100,100000,1.0,0.0,0.001953125,0.998046875,dense,123
10,100,100000,1.0,0.0,0.0009765625,0.9990234375,dense,123
11,100,100000,1.0,0.0,0.00048828125,0.99951171875,dense,123
12,100,100000,1.0,0.0,0.000244140625,0.999755859375,dense,123
13,100,100000,1.0,0.0,0.0001220703125,0.9998779296875,dense,123
14,100,100000,1.0,0.0,6.103515625e-05,0.99993896484375,dense,123
15,100,100000,1.0,0.0,3.0517578125e-05,0.999969482421875,dense,123
16,100,100000,1.0,0.0,1.52587890625e-05,0.9999847412109375,dense,123
17,100,100000,1.0,0.0,7.62939453125e-06,0.9999923706054688,dense,123
18,100,100000,1.0,0.0,3.814697265625e-06,0.9999961853027344,dense,123
19,100,100000,1.0,0.0,1.9073486328125e-06,0.9999980926513672,dense,123
20,100,100000,1.0,0.0,9.5367431640625e-07,0.9999990463256836,dense,123
