n,algorithm,k,sample,seconds
207,numpy_matmul,0,0,8.424999999995242e-05
207,strassen,0,0,0.0026381659999999973
207,triple_loop_skipped,0,0,
207,frievald,1,0,0.00038562500000000055
207,frievald,10,0,0.000320333000000006
207,frievald,20,0,0.0005783750000000198
1555,numpy_matmul,0,1,0.022757000000000027
1555,strassen,0,1,0.9479920829999999
1555,triple_loop_skipped,0,1,
1555,frievald,1,1,0.0010710830000000282
1555,frievald,10,1,0.009236915999999873
1555,frievald,20,1,0.02059174999999991
1676,numpy_matmul,0,2,0.027267832999999797
1676,strassen,0,2,0.9646532079999999
1676,triple_loop_skipped,0,2,
1676,frievald,1,2,0.0012946670000002491
1676,frievald,10,2,0.010788459000000028
1676,frievald,20,2,0.02127599999999985
1357,numpy_matmul,0,3,0.014957292000000066
1357,strassen,0,3,0.9570141670000001
1357,triple_loop_skipped,0,3,
1357,frievald,1,3,0.0008589580000002428
1357,frievald,10,3,0.007206207999999936
1357,frievald,20,3,0.014292624999999948
1177,numpy_matmul,0,4,0.010387250000000403
1177,strassen,0,4,0.9528697500000005
1177,triple_loop_skipped,0,4,
1177,frievald,1,4,0.000695417000000198
1177,frievald,10,4,0.00550850000000036
1177,frievald,20,4,0.010883749999999637
1731,numpy_matmul,0,5,0.029582500000000067
1731,strassen,0,5,0.9443909159999997
1731,triple_loop_skipped,0,5,
1731,frievald,1,5,0.0012492079999999461
1731,frievald,10,5,0.011261666000000226
1731,frievald,20,5,0.022576250000000186
1601,numpy_matmul,0,6,0.023815250000000177
1601,strassen,0,6,0.955456292
1601,triple_loop_skipped,0,6,
1601,frievald,1,6,0.0011127079999999623
1601,frievald,10,6,0.009891708000000499
1601,frievald,20,6,0.019498125000000144
1270,numpy_matmul,0,7,0.012421499999999419
1270,strassen,0,7,0.9497615829999999
1270,triple_loop_skipped,0,7,
1270,frievald,1,7,0.0007542499999999563
1270,frievald,10,7,0.00643270899999937
1270,frievald,20,7,0.012590291999999614
141,numpy_matmul,0,8,3.270799999999241e-05
141,strassen,0,8,0.0025220419999998356
141,triple_loop,0,8,0.5018839580000005
141,frievald,1,8,0.00012962500000135435
141,frievald,10,8,0.00027266600000075414
141,frievald,20,8,0.0004946659999998104
1523,numpy_matmul,0,9,0.02074808300000086
1523,strassen,0,9,0.9495713329999997
1523,triple_loop_skipped,0,9,
1523,frievald,1,9,0.0009957919999994402
1523,frievald,10,9,0.008824709000000652
1523,frievald,20,9,0.017668915999999868
1075,numpy_matmul,0,10,0.008138167000000252
1075,strassen,0,10,0.9565761660000014
1075,triple_loop_skipped,0,10,
1075,frievald,1,10,0.0009202919999999892
1075,frievald,10,10,0.0050047919999993695
1075,frievald,20,10,0.0091743330000007
267,numpy_matmul,0,11,0.00012995800000048519
267,strassen,0,11,0.020435499999999607
267,triple_loop_skipped,0,11,
267,frievald,1,11,0.00017829199999930267
267,frievald,10,11,0.0003792090000001025
267,frievald,20,11,0.0007005410000004986
1702,numpy_matmul,0,12,0.028307791999999665
1702,strassen,0,12,0.9443755410000012
1702,triple_loop_skipped,0,12,
1702,frievald,1,12,0.0012371250000011713
1702,frievald,10,12,0.011035666999999805
1702,frievald,20,12,0.02189154200000054
1265,numpy_matmul,0,13,0.012517250000000146
1265,strassen,0,13,0.9500095829999999
1265,triple_loop_skipped,0,13,
1265,frievald,1,13,0.0007635830000012334
1265,frievald,10,13,0.006250916000000828
1265,frievald,20,13,0.01240691699999985
1739,numpy_matmul,0,14,0.030703250000000182
1739,strassen,0,14,1.0059379579999987
1739,triple_loop_skipped,0,14,
1739,frievald,1,14,0.0013436250000005145
1739,frievald,10,14,0.011391791999999512
1739,frievald,20,14,0.022715207999999265
1740,numpy_matmul,0,15,0.029606417000000107
1740,strassen,0,15,1.0666461250000001
1740,triple_loop_skipped,0,15,
1740,frievald,1,15,0.0012889579999999512
1740,frievald,10,15,0.011449125000000393
1740,frievald,20,15,0.02263104100000035
1185,numpy_matmul,0,16,0.010638915999999554
1185,strassen,0,16,0.9420426670000008
1185,triple_loop_skipped,0,16,
1185,frievald,1,16,0.0007090410000003544
1185,frievald,10,16,0.0055679590000004
1185,frievald,20,16,0.01092874999999971
1033,numpy_matmul,0,17,0.007379457999999062
1033,strassen,0,17,0.9282847079999996
1033,triple_loop_skipped,0,17,
1033,frievald,1,17,0.0005904580000013482
1033,frievald,10,17,0.0043426249999996
1033,frievald,20,17,0.008506041000000408
530,numpy_matmul,0,18,0.0008751670000002321
530,strassen,0,18,0.12535887499999987
530,triple_loop_skipped,0,18,
530,frievald,1,18,0.00024120800000204667
530,frievald,10,18,0.0005042500000023153
530,frievald,20,18,0.00094670800000074
169,numpy_matmul,0,19,3.404099999926302e-05
169,strassen,0,19,0.0023863750000003847
169,triple_loop,0,19,0.870133040999999
169,frievald,1,19,0.00013979099999872346
169,frievald,10,19,0.0002873329999992791
169,frievald,20,19,0.0005265000000029829
1366,numpy_matmul,0,20,0.0164151249999982
1366,strassen,0,20,0.9294550420000007
1366,triple_loop_skipped,0,20,
1366,frievald,1,20,0.0008336249999985057
1366,frievald,10,20,0.007231624999999298
1366,frievald,20,20,0.014288291999999814
242,numpy_matmul,0,21,0.00010287499999961369
242,strassen,0,21,0.0025619170000013014
242,triple_loop_skipped,0,21,
242,frievald,1,21,8.854200000030232e-05
242,frievald,10,21,0.0003230840000014723
242,frievald,20,21,0.0006139590000024953
580,numpy_matmul,0,22,0.0010842500000016742
580,strassen,0,22,0.12719637500000047
580,triple_loop_skipped,0,22,
580,frievald,1,22,0.0002600410000006548
580,frievald,10,22,0.0005933750000011173
580,frievald,20,22,0.0010316249999995364
1187,numpy_matmul,0,23,0.010642624999999128
