bits,seed,sample_index,rounds,strategy,n,probable_prime,ground_truth,correct,time_core,witness_count,base_collision_fraction,impl_sympy_time,impl_det64_time,impl_det64_result,is_carmichael,pseudoprime_flag
32,1,0,5,random,2482129519,False,False,True,2.2970001737121493e-05,1,0.0,1.1027001164620742e-05,5.092999344924465e-06,False,False,False
32,1,0,5,fixed_small,2482129519,False,False,True,6.8590015871450305e-06,1,0.0,9.395997039973736e-06,3.6439996620174497e-06,False,False,False
32,1,0,10,random,2482129519,False,False,True,1.7596001271158457e-05,1,0.0,6.2589970184490085e-06,2.906999725382775e-06,False,False,False
32,1,0,10,fixed_small,2482129519,False,False,True,4.68700091005303e-06,1,0.0,6.441001460189e-06,2.5189983716700226e-06,False,False,False
32,1,1,5,random,3677737829,False,False,True,1.5622998034814373e-05,1,0.0,5.806999979540706e-06,4.032997821923345e-06,False,False,False
32,1,1,5,fixed_small,3677737829,False,False,True,4.453999281395227e-06,1,0.0,5.545000021811575e-06,3.0150004022289068e-06,False,False,False
32,1,1,10,random,3677737829,False,False,True,1.4610002835979685e-05,1,0.0,5.006000719731674e-06,2.81600296148099e-06,False,False,False
32,1,1,10,fixed_small,3677737829,False,False,True,3.884000761900097e-06,1,0.0,5.39900065632537e-06,2.6369998522568494e-06,False,False,False
32,1,2,5,random,3822187675,False,False,True,9.499999578110874e-07,0,,3.6499841371551156e-07,3.850000211969018e-07,False,False,False
32,1,2,5,fixed_small,3822187675,False,False,True,7.919989002402872e-07,0,0.0,2.3299799067899585e-07,3.130007826257497e-07,False,False,False
32,1,2,10,random,3822187675,False,False,True,5.949987098574638e-07,0,,2.1999949240125716e-07,2.3299799067899585e-07,False,False,False
32,1,2,10,fixed_small,3822187675,False,False,True,6.549998943228275e-07,0,0.0,2.640008460730314e-07,3.7900099414400756e-07,False,False,False
32,1,3,5,random,3750940597,False,False,True,1.4775996532989666e-05,1,0.0,6.371999916154891e-06,3.5999983083456755e-06,False,False,False
32,1,3,5,fixed_small,3750940597,False,False,True,3.991000994574279e-06,1,0.0,5.409998266259208e-06,3.020999429281801e-06,False,False,False
32,1,3,10,random,3750940597,False,False,True,1.3888999092159793e-05,1,0.0,4.854999133385718e-06,2.7650021365843713e-06,False,False,False
32,1,3,10,fixed_small,3750940597,False,False,True,3.8100006349850446e-06,1,0.0,4.956997145200148e-06,2.7429996407590806e-06,False,False,False
32,1,4,5,random,2605676383,False,False,True,1.4203000318957493e-05,1,0.0,5.114001396577805e-06,3.1470008252654225e-06,False,False,False
32,1,4,5,fixed_small,2605676383,False,False,True,3.937002475140616e-06,1,0.0,5.310001142788678e-06,2.6039997464977205e-06,False,False,False
32,1,4,10,random,2605676383,False,False,True,1.4123001164989546e-05,1,0.0,4.916000762023032e-06,2.5670015020295978e-06,False,False,False
32,1,4,10,fixed_small,2605676383,False,False,True,3.5910015867557377e-06,1,0.0,4.7530011215712875e-06,2.5789995561353862e-06,False,False,False
32,2,0,5,random,4024408503,False,False,True,5.19001332577318e-07,0,,2.0299921743571758e-07,2.439992385916412e-07,False,False,False
32,2,0,5,fixed_small,4024408503,False,False,True,5.379988579079509e-07,0,0.0,2.0600054995156825e-07,2.0700099412351847e-07,False,False,False
32,2,0,10,random,4024408503,False,False,True,4.6800050768069923e-07,0,,1.9999788491986692e-07,1.270018401555717e-07,False,False,False
32,2,0,10,fixed_small,4024408503,False,False,True,4.6500281314365566e-07,0,0.0,2.4199835024774075e-07,1.4399847714230418e-07,False,False,False
32,2,1,5,random,3524454117,False,False,True,4.299981810618192e-07,0,,1.8799983081407845e-07,1.5300247468985617e-07,False,False,False
32,2,1,5,fixed_small,3524454117,False,False,True,4.970024747308344e-07,0,0.0,2.3000029614195228e-07,2.1099913283251226e-07,False,False,False
32,2,1,10,random,3524454117,False,False,True,4.220019036438316e-07,0,,2.349988790228963e-07,3.169989213347435e-07,False,False,False
32,2,1,10,fixed_small,3524454117,False,False,True,6.230002327356488e-07,0,0.0,4.3700129026547074e-07,2.3399843485094607e-07,False,False,False
32,2,2,5,random,3487119771,False,False,True,4.5900014811195433e-07,0,,2.1499727154150605e-07,1.6000194591470063e-07,False,False,False
32,2,2,5,fixed_small,3487119771,False,False,True,4.2399915400892496e-07,0,0.0,2.1599771571345627e-07,1.7600177670828998e-07,False,False,False
32,2,2,10,random,3487119771,False,False,True,3.6400160752236843e-07,0,,1.8799983081407845e-07,1.2999953469261527e-07,False,False,False
32,2,2,10,fixed_small,3487119771,False,False,True,4.2900137486867607e-07,0,0.0,1.900007191579789e-07,2.00001522898674e-07,False,False,False
32,2,3,5,random,3225449905,False,False,True,4.6100103645585477e-07,0,,2.889973984565586e-07,3.1399758881889284e-07,False,False,False
32,2,3,5,fixed_small,3225449905,False,False,True,4.960020305588841e-07,0,0.0,2.2399763111025095e-07,2.0600054995156825e-07,False,False,False
32,2,3,10,random,3225449905,False,False,True,4.2799729271791875e-07,0,,2.1600135369226336e-07,1.8799983081407845e-07,False,False,False
32,2,3,10,fixed_small,3225449905,False,False,True,5.319998308550566e-07,0,0.0,2.580018190201372e-07,2.180022420361638e-07,False,False,False
32,2,4,5,random,3787234697,False,False,True,1.5549001545878127e-05,1,0.0,5.549001798499376e-06,3.838998964056373e-06,False,False,False
32,2,4,5,fixed_small,3787234697,False,False,True,4.2190004023723304e-06,1,0.0,5.352998414309695e-06,2.920001861639321e-06,False,False,False
32,2,4,10,random,3787234697,False,False,True,1.5772999176988378e-05,1,0.0,4.94800042361021e-06,2.7809983293991536e-06,False,False,False
32,2,4,10,fixed_small,3787234697,False,False,True,3.907996870111674e-06,1,0.0,5.021000106353313e-06,2.525001036701724e-06,False,False,False
40,1,0,5,random,994619574895,False,False,True,6.039990694262087e-07,0,,2.5700137484818697e-07,2.580018190201372e-07,False,False,False
40,1,0,5,fixed_small,994619574895,False,False,True,5.699985194951296e-07,0,0.0,2.4200198822654784e-07,2.1600135369226336e-07,False,False,False
40,1,0,10,random,994619574895,False,False,True,4.169996827840805e-07,0,,1.9800063455477357e-07,2.039996616076678e-07,False,False,False
40,1,0,10,fixed_small,994619574895,False,False,True,5.090005288366228e-07,0,0.0,2.849992597475648e-07,2.680026227608323e-07,False,False,False
40,1,1,5,random,620005544805,False,False,True,3.989989636465907e-07,0,,2.439992385916412e-07,1.399967004545033e-07,False,False,False
40,1,1,5,fixed_small,620005544805,False,False,True,4.1100065573118627e-07,0,0.0,2.9299917514435947e-07,1.5300247468985617e-07,False,False,False
40,1,1,10,random,620005544805,False,False,True,3.809982445091009e-07,0,,2.0700099412351847e-07,1.7099955584853888e-07,False,False,False
40,1,1,10,fixed_small,620005544805,False,False,True,4.389985406305641e-07,0,0.0,2.2099993657320738e-07,2.0299921743571758e-07,False,False,False
40,1,2,5,random,800538621083,False,False,True,1.5033998352009803e-05,1,0.0,5.7249999372288585e-06,3.17399826599285e-06,False,False,False
40,1,2,5,fixed_small,800538621083,False,False,True,4.315999831305817e-06,1,0.0,5.218000296736136e-06,3.0990013328846544e-06,False,False,False
40,1,2,10,random,800538621083,False,False,True,1.470099959988147e-05,1,0.0,4.67000063508749e-06,3.017001290572807e-06,False,False,False
40,1,2,10,fixed_small,800538621083,False,False,True,4.1669991333037615e-06,1,0.0,4.764002369483933e-06,3.0080009310040623e-06,False,False,False
40,1,3,5,random,772550086581,False,False,True,6.709997251164168e-07,0,,2.3400207282975316e-07,2.2299718693830073e-07,False,False,False
40,1,3,5,fixed_small,772550086581,False,False,True,6.299997039604932e-07,0,0.0,2.809974830597639e-07,2.180022420361638e-07,False,False,False
40,1,3,10,random,772550086581,False,False,True,4.5100023271515965e-07,0,,2.2500171326100826e-07,1.5299883671104908e-07,False,False,False
40,1,3,10,fixed_small,772550086581,False,False,True,4.5900014811195433e-07,0,0.0,2.1199957700446248e-07,2.0700099412351847e-07,False,False,False
40,1,4,5,random,1080642467679,False,False,True,4.5100023271515965e-07,0,,2.2299718693830073e-07,1.359985617455095e-07,False,False,False
40,1,4,5,fixed_small,1080642467679,False,False,True,5.069996404927224e-07,0,0.0,2.569977368693799e-07,2.9200236895121634e-07,False,False,False
40,1,4,10,random,1080642467679,False,False,True,4.539979272522032e-07,0,,2.079978003166616e-07,1.770022208802402e-07,False,False,False
40,1,4,10,fixed_small,1080642467679,False,False,True,7.24001438356936e-07,0,0.0,3.080021997448057e-07,2.449996827635914e-07,False,False,False
40,2,0,5,random,955359664567,False,False,True,5.530018825083971e-07,0,,3.040004230570048e-07,2.759989001788199e-07,False,False,False
40,2,0,5,fixed_small,955359664567,False,False,True,6.139998731669039e-07,0,0.0,2.940032572951168e-07,2.490014594513923e-07,False,False,False
40,2,0,10,random,955359664567,False,False,True,4.57002897746861e-07,0,,2.6999987312592566e-07,2.0299921743571758e-07,False,False,False
40,2,0,10,fixed_small,955359664567,False,False,True,5.130023055244237e-07,0,0.0,2.6500129024498165e-07,2.6600173441693187e-07,False,False,False
40,2,1,5,random,907615069925,False,False,True,4.6100103645585477e-07,0,,2.4600012693554163e-07,2.0199877326376736e-07,False,False,False
40,2,1,5,fixed_small,907615069925,False,False,True,4.889989213552326e-07,0,0.0,2.580018190201372e-07,2.710003172978759e-07,False,False,False
40,2,1,10,random,907615069925,False,False,True,4.0499799069948494e-07,0,,2.589986252132803e-07,2.2400126908905804e-07,False,False,False
40,2,1,10,fixed_small,907615069925,False,False,True,4.5599881559610367e-07,0,0.0,2.489978214725852e-07,2.2500171326100826e-07,False,False,False
40,2,2,5,random,641289763227,False,False,True,4.1000021155923605e-07,0,,2.1999949240125716e-07,1.990010787267238e-07,False,False,False
