dataset,distribution,dataset_size,precision,algorithm,stream_length,true_cardinality,final_estimate,relative_error,memory_bytes,throughput_ops,elapsed_seconds,avg_checkpoint_error,max_checkpoint_error,avg_relative_error,max_relative_error,p95_relative_error
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,hll,1000000.0,2000.0,2016.11,0.00805471,16384.0,890930666.6666666,0.00112328,0.007432,0.015154599999999999,0.007432004000000001,0.0151546,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,hll++,1000000.0,2000.0,2000.0,0.0,16000.0,1056186666.6666666,0.0009477223333333333,0.0,0.0,0.0,0.0,0.0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,ll,1000000.0,2000.0,2016.11,0.00805471,16384.0,2566453333.3333335,0.000406923,0.007432,0.015154599999999999,0.007432004000000001,0.0151546,0.0151546
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,hll,500000.0,1000.0,994.5859999999999,0.00541364,16384.0,434598333.3333333,0.001197958,0.00561855,0.0106471,0.00561855,0.0106471,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,hll++,500000.0,1000.0,1000.0,0.0,8000.0,924744333.3333334,0.000543675,0.0,0.0,0.0,0.0,0.0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,ll,500000.0,1000.0,994.5859999999999,0.00541364,16384.0,1654726666.6666667,0.0003290146666666666,0.00561855,0.0106471,0.00561855,0.0106471,0.0106471
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,hll,1000.0,616.0,616.453,0.0007354330000000001,16384.0,987890.3333333334,0.001012708,0.00203243,0.00562665,0.002032432363636364,0.00562665,0.00562665
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,hll++,1000.0,616.0,616.0,0.0,4928.0,16448200.0,6.085066666666666e-05,0.0,0.0,0.0,0.0,0.0
bounded_micro_1k_1000.txt,bounded_micro_1k,1000,14,ll,1000.0,616.0,616.453,0.0007354330000000001,16384.0,4307876.666666667,0.00023213733333333334,0.00203243,0.00562665,0.002032432363636364,0.00562665,0.00562665
clustered_wave_1m_1000000.txt,clustered_wave_1m,1000000,14,hll,1000000.0,1000000.0,1022690.0,0.022694499999999996,16384.0,107539833.33333333,0.009335833333333333,0.00739834,0.022694499999999996,0.0073983446,0.0226945,0.0226945
clustered_wave_1m_1000000.txt,clustered_wave_1m,1000000,14,hll++,1000000.0,1000000.0,1022690.0,0.022694499999999996,16384.0,79252333.33333333,0.012636533333333333,0.00773899,0.022694499999999996,0.0077389939,0.0226945,0.0226945
clustered_wave_1m_1000000.txt,clustered_wave_1m,1000000,14,ll,1000000.0,1000000.0,1025120.0,0.025117,16384.0,164132000.0,0.00623997,0.0108119,0.025117,0.010811851,0.025117,0.025117
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,hll,3000000.0,3000000.0,2998370.0,0.000542773,16384.0,145720000.0,0.020627666666666666,0.00759876,0.0171461,0.0075987563,0.0171461,0.0171461
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,hll++,3000000.0,3000000.0,2998370.0,0.000542773,16384.0,107173000.0,0.02831143333333333,0.00817703,0.0171461,0.0081770263,0.0171461,0.0171461
clustered_wave_3m_3000000.txt,clustered_wave_3m,3000000,14,ll,3000000.0,3000000.0,3007290.0,0.00242853,16384.0,205660333.33333334,0.014608533333333333,0.010760899999999999,0.0207685,0.010760936,0.0207685,0.0207685
uniform_2m_2000000.txt,uniform_2m,2000000,14,hll,2000000.0,2000000.0,2005810.0,0.00290526,16384.0,130617333.33333333,0.0157144,0.00651549,0.0238046,0.006515489,0.0238046,0.0238046
uniform_2m_2000000.txt,uniform_2m,2000000,14,hll++,2000000.0,2000000.0,2005810.0,0.00290526,16384.0,105030000.0,0.019065233333333334,0.00446993,0.00938401,0.004469925,0.00938401,0.00938401
uniform_2m_2000000.txt,uniform_2m,2000000,14,ll,2000000.0,2000000.0,1992850.0,0.00357443,16384.0,195814666.66666666,0.010274716666666666,0.00731757,0.0155799,0.0073175770000000005,0.0155799,0.0155799
uniform_5m_5000000.txt,uniform_5m,5000000,14,hll,5000000.0,5000000.0,4996540.0,0.000691545,16384.0,172252000.0,0.029044,0.00446298,0.0145845,0.0044629809,0.0145845,0.0145845
uniform_5m_5000000.txt,uniform_5m,5000000,14,hll++,5000000.0,5000000.0,4996540.0,0.000691545,16384.0,118292000.0,0.0423275,0.00464239,0.0145845,0.0046423885,0.0145845,0.0145845
uniform_5m_5000000.txt,uniform_5m,5000000,14,ll,5000000.0,5000000.0,5004000.0,0.000799471,16384.0,224559333.33333334,0.022270166666666664,0.00311086,0.0095298,0.0031108602,0.0095298,0.0095298
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,hll,500000.0,500000.0,503754.0,0.00750826,16384.0,85299566.66666667,0.005890253333333334,0.00840383,0.0205657,0.008403829,0.0205657,0.0205657
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,hll++,500000.0,500000.0,503754.0,0.00750826,16384.0,66245333.333333336,0.007612130000000001,0.00854968,0.0205657,0.00854968,0.0205657,0.0205657
uniform_small_500k_500000.txt,uniform_small_500k,500000,14,ll,500000.0,500000.0,505730.0,0.0114608,16384.0,144614666.66666666,0.0034677733333333335,0.0128324,0.0353814,0.01283243,0.0353814,0.0353814
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,hll,2000000.0,1075590.0,1076510.0,0.0008536909999999998,16384.0,122501333.33333333,0.016445366666666666,0.0056479699999999996,0.0127867,0.005647969,0.0127867,0.0127867
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,hll++,2000000.0,1075590.0,1076510.0,0.0008536909999999998,16384.0,84439500.0,0.023811333333333334,0.005752629999999999,0.0127867,0.005752625999999999,0.0127867,0.0127867
zipf_heavy_2m_2000000.txt,zipf_heavy_2m,2000000,14,ll,2000000.0,1075590.0,1083670.0,0.007513700000000001,16384.0,169158333.33333334,0.011848466666666667,0.00730341,0.012911399999999998,0.0073034099,0.0129114,0.0129114
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,hll,500000.0,74370.0,74750.3,0.00511378,16384.0,82525900.0,0.0062160666666666664,0.00457399,0.00947904,0.0045739887,0.00947904,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,hll++,500000.0,74370.0,74497.3,0.00171174,16384.0,56497500.0,0.009355210000000001,0.0023538,0.00947904,0.002353798,0.00947904,0.00947904
zipf_light_500k_500000.txt,zipf_light_500k,500000,14,ll,500000.0,74370.0,75027.9,0.00884684,16384.0,147560333.33333334,0.0034328366666666666,0.00506916,0.00947904,0.005069164,0.00947904,0.00947904
