dataset,distribution,dataset_size,precision,rep,algorithm,checkpoint,stream_index,true_cardinality,estimated_cardinality,relative_error
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,200,210,200,199.206,0.00396931
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,400,433,400,400.864,0.00216046
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,600,688,600,602.96,0.00493356
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,800,978,800,810.732,0.013415
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,1000,1308,1000,1010.53,0.0105329
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,1200,1738,1200,1218.19,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,1400,2333,1400,1408.88,0.00633976
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,1600,3086,1600,1607.33,0.00457865
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,1800,4596,1800,1809.33,0.00518109
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,2000,14824,2000,2016.11,0.00805471
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,200,210,200,199.206,0.00396931
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,400,433,400,400.864,0.00216046
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,600,688,600,602.96,0.00493356
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,800,978,800,810.732,0.013415
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,1000,1308,1000,1010.53,0.0105329
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,1200,1738,1200,1218.19,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,1400,2333,1400,1408.88,0.00633976
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,1600,3086,1600,1607.33,0.00457865
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,1800,4596,1800,1809.33,0.00518109
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,2000,14824,2000,2016.11,0.00805471
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,200,210,200,200,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,400,433,400,400,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,600,688,600,600,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,800,978,800,800,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,1000,1308,1000,1000,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,1200,1738,1200,1200,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,1400,2333,1400,1400,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,1600,3086,1600,1600,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,1800,4596,1800,1800,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,2000,14824,2000,2000,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,200,210,200,199.206,0.00396931
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,400,433,400,400.864,0.00216046
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,600,688,600,602.96,0.00493356
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,800,978,800,810.732,0.013415
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,1000,1308,1000,1010.53,0.0105329
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,1200,1738,1200,1218.19,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,1400,2333,1400,1408.88,0.00633976
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,1600,3086,1600,1607.33,0.00457865
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,1800,4596,1800,1809.33,0.00518109
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,2000,14824,2000,2016.11,0.00805471
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,200,210,200,199.206,0.00396931
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,400,433,400,400.864,0.00216046
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,600,688,600,602.96,0.00493356
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,800,978,800,810.732,0.013415
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,1000,1308,1000,1010.53,0.0105329
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,1200,1738,1200,1218.19,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,1400,2333,1400,1408.88,0.00633976
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,1600,3086,1600,1607.33,0.00457865
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,1800,4596,1800,1809.33,0.00518109
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,2000,14824,2000,2016.11,0.00805471
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,200,210,200,200,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,400,433,400,400,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,600,688,600,600,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,800,978,800,800,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1000,1308,1000,1000,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1200,1738,1200,1200,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1400,2333,1400,1400,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1600,3086,1600,1600,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1800,4596,1800,1800,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,2000,14824,2000,2000,0
