dataset,distribution,dataset_size,precision,rep,algorithm,stream_length,true_cardinality,final_estimate,relative_error,memory_bytes,throughput_ops,elapsed_seconds,avg_checkpoint_error,max_checkpoint_error
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,ll,1000000,2000,2016.11,0.00805471,16384,3.34029e+09,0.000299375,0.007432,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll,1000000,2000,2016.11,0.00805471,16384,9.24612e+08,0.00108154,0.007432,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,0,hll++,1000000,2000,2000,0,16000,1.08058e+09,0.000925432,0,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,ll,1000000,2000,2016.11,0.00805471,16384,2.31887e+09,0.000431245,0.007432,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll,1000000,2000,2016.11,0.00805471,16384,8.82408e+08,0.00113326,0.007432,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,1,hll++,1000000,2000,2000,0,16000,1.07777e+09,0.000927845,0,0
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,ll,1000000,2000,2016.11,0.00805471,16384,2.0402e+09,0.000490149,0.007432,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll,1000000,2000,2016.11,0.00805471,16384,8.65772e+08,0.00115504,0.007432,0.0151546
bounded_dense_1m_1000000.txt,bounded_dense_1m,1000000,14,2,hll++,1000000,2000,2000,0,16000,1.01021e+09,0.00098989,0,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,ll,500000,1000,994.586,0.00541364,16384,1.05035e+09,0.000476033,0.00561855,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll,500000,1000,994.586,0.00541364,16384,3.21119e+08,0.00155705,0.00561855,0.0106471
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,0,hll++,500000,1000,1000,0,8000,8.31803e+08,0.000601104,0,0
bounded_dense_500k_500000.txt,bounded_dense_500k,500000,14,1,ll,500000,1000,994.586,0.00541364,16384,1.95266e+09,0.000256061,0.00561855,0.0106471
