n,algorithm,k,sample,seconds
269,numpy_matmul,0,0,0.0001371250000000157
269,strassen,0,0,0.019320749999999998
269,triple_loop_skipped,0,0,
269,frievald,1,0,0.00016791600000001794
269,frievald,10,0,0.00036545800000001294
269,frievald,20,0,0.0007220000000000004
1571,numpy_matmul,0,1,0.023537291999999987
1571,strassen,0,1,0.876300334
1571,triple_loop_skipped,0,1,
1571,frievald,1,1,0.001169874999999987
1571,frievald,10,1,0.009449875000000052
1571,frievald,20,1,0.019109374999999984
406,numpy_matmul,0,2,0.00037837499999993085
406,strassen,0,2,0.016870291999999898
406,triple_loop_skipped,0,2,
406,frievald,1,2,0.00015483399999993708
406,frievald,10,2,0.0004151250000001827
406,frievald,20,2,0.0007906250000000448
199,numpy_matmul,0,3,5.304200000000314e-05
199,strassen,0,3,0.0023135830000000634
199,triple_loop,0,3,0.0005857920000000849
199,frievald,1,3,5.095799999987882e-05
199,frievald,10,3,0.0002827080000000759
199,frievald,20,3,0.0005395830000001212
1788,numpy_matmul,0,4,0.03172458299999992
1788,strassen,0,4,0.8712092080000002
1788,triple_loop_skipped,0,4,
1788,frievald,1,4,0.0013880409999997845
1788,frievald,10,4,0.011988749999999992
1788,frievald,20,4,0.02382366700000027
647,numpy_matmul,0,5,0.0015084579999999903
647,strassen,0,5,0.1221157500000003
647,triple_loop_skipped,0,5,
647,frievald,1,5,0.0003109999999999502
647,frievald,10,5,0.0006467500000000292
647,frievald,20,5,0.00121116699999968
1555,numpy_matmul,0,6,0.021840917000000015
1555,strassen,0,6,0.8843789579999997
1555,triple_loop_skipped,0,6,
1555,frievald,1,6,0.0010350000000003412
1555,frievald,10,6,0.009193666999999905
1555,frievald,20,6,0.018285499999999733
1794,numpy_matmul,0,7,0.03242087499999968
1794,strassen,0,7,0.870300291
1794,triple_loop_skipped,0,7,
1794,frievald,1,7,0.0013192919999998054
1794,frievald,10,7,0.01203783300000083
1794,frievald,20,7,0.023956958000000306
1549,numpy_matmul,0,8,0.021719749999999927
1549,strassen,0,8,0.8682489169999998
1549,triple_loop_skipped,0,8,
1549,frievald,1,8,0.0010566249999994781
1549,frievald,10,8,0.009105833000000452
1549,frievald,20,8,0.018098417000000033
179,numpy_matmul,0,9,5.2166999999769814e-05
179,strassen,0,9,0.002394499999999411
179,triple_loop,0,9,0.0004807920000002852
179,frievald,1,9,8.341599999983629e-05
179,frievald,10,9,0.0002726250000000263
179,frievald,20,9,0.0005022919999992936
1116,numpy_matmul,0,10,0.008850749999999685
1116,strassen,0,10,0.8701319999999999
1116,triple_loop_skipped,0,10,
1116,frievald,1,10,0.000664000000000442
1116,frievald,10,10,0.004987166000000265
1116,frievald,20,10,0.009807541000000697
1910,numpy_matmul,0,11,0.03815470799999954
1910,strassen,0,11,0.8819119579999999
1910,triple_loop_skipped,0,11,
1910,frievald,1,11,0.0015117919999996232
1910,frievald,10,11,0.01359670900000065
1910,frievald,20,11,0.02712062500000023
997,numpy_matmul,0,12,0.006598915999999733
997,strassen,0,12,0.12298954200000001
997,triple_loop_skipped,0,12,
997,frievald,1,12,0.0005329999999998947
997,frievald,10,12,0.004023166999999717
997,frievald,20,12,0.007924083000000692
372,numpy_matmul,0,13,0.00028299999999958914
372,strassen,0,13,0.016908916000000218
372,triple_loop_skipped,0,13,
372,frievald,1,13,0.00013212500000037153
372,frievald,10,13,0.0003632920000002926
372,frievald,20,13,0.0006975830000000016
190,numpy_matmul,0,14,4.233299999967244e-05
190,strassen,0,14,0.002393917000000023
190,triple_loop,0,14,0.0004949170000001502
190,frievald,1,14,5.487500000000978e-05
190,frievald,10,14,0.000258541000000001
190,frievald,20,14,0.0004981669999999383
1856,numpy_matmul,0,15,0.03505579199999964
1856,strassen,0,15,0.8651651659999997
1856,triple_loop_skipped,0,15,
1856,frievald,1,15,0.0013945829999997272
1856,frievald,10,15,0.012669875000000275
1856,frievald,20,15,0.025296334000000087
853,numpy_matmul,0,16,0.004353292000001119
853,strassen,0,16,0.1239457090000009
853,triple_loop_skipped,0,16,
853,frievald,1,16,0.0004507089999989944
853,frievald,10,16,0.00224845900000048
853,frievald,20,16,0.004278333000000245
1431,numpy_matmul,0,17,0.017388957999999732
1431,strassen,0,17,0.8638680839999999
1431,triple_loop_skipped,0,17,
1431,frievald,1,17,0.0008945410000009701
1431,frievald,10,17,0.00781412499999945
1431,frievald,20,17,0.015545041999999398
988,numpy_matmul,0,18,0.006176416999998935
988,strassen,0,18,0.12071954199999979
988,triple_loop_skipped,0,18,
988,frievald,1,18,0.0005203750000006835
988,frievald,10,18,0.003985417000000879
988,frievald,20,18,0.00781179200000004
172,numpy_matmul,0,19,4.0166999999868835e-05
172,strassen,0,19,0.002312459000000544
172,triple_loop,0,19,0.00025733299999863846
172,frievald,1,19,7.258399999976461e-05
172,frievald,10,19,0.00025954200000022354
172,frievald,20,19,0.0004891669999995685
1614,numpy_matmul,0,20,0.023968083000001528
1614,strassen,0,20,0.8720409999999994
1614,triple_loop_skipped,0,20,
1614,frievald,1,20,0.0011197500000008631
1614,frievald,10,20,0.009884833999999287
1614,frievald,20,20,0.019550707999998806
113,numpy_matmul,0,21,2.324999999991917e-05
113,strassen,0,21,0.0003286659999996999
113,triple_loop,0,21,8.887500000120951e-05
113,frievald,1,21,6.866700000074388e-05
113,frievald,10,21,0.0001770830000005219
113,frievald,20,21,0.0003302500000010866
711,numpy_matmul,0,22,0.0019855829999997354
711,strassen,0,22,0.12796995799999955
711,triple_loop_skipped,0,22,
711,frievald,1,22,0.0003957920000008386
711,frievald,10,22,0.0006791249999995586
711,frievald,20,22,0.0012648330000004648
1439,numpy_matmul,0,23,0.017627625000001146
1439,strassen,0,23,0.8743647499999998
1439,triple_loop_skipped,0,23,
1439,frievald,1,23,0.0009243339999986944
1439,frievald,10,23,0.007922833000000296
1439,frievald,20,23,0.015673624999999802
693,numpy_matmul,0,24,0.0018361659999985847
693,strassen,0,24,0.1218148750000001
693,triple_loop_skipped,0,24,
693,frievald,1,24,0.0003408329999992077
693,frievald,10,24,0.000650292000001329
693,frievald,20,24,0.001222041000000118
679,numpy_matmul,0,25,0.0016604999999998427
679,strassen,0,25,0.12981708300000072
679,triple_loop_skipped,0,25,
679,frievald,1,25,0.00033254200000065737
679,frievald,10,25,0.0006636669999995348
679,frievald,20,25,0.0012377499999995933
241,numpy_matmul,0,26,0.0001004170000005189
241,strassen,0,26,0.002404666000000333
241,triple_loop_skipped,0,26,
241,frievald,1,26,9.125000000054229e-05
241,frievald,10,26,0.0003035000000011223
241,frievald,20,26,0.0005730000000010449
564,numpy_matmul,0,27,0.0009983330000000734
564,strassen,0,27,0.1291137090000003
564,triple_loop_skipped,0,27,
564,frievald,1,27,0.00025241700000044887
564,frievald,10,27,0.0005393749999988984
564,frievald,20,27,0.0010097499999996984
539,numpy_matmul,0,28,0.000918292000001486
539,strassen,0,28,0.12501208399999975
539,triple_loop_skipped,0,28,
539,frievald,1,28,0.0002527080000014337
539,frievald,10,28,0.0005499580000005722
539,frievald,20,28,0.0010252919999995669
755,numpy_matmul,0,29,0.0032010830000004376
755,strassen,0,29,0.12037995799999912
755,triple_loop_skipped,0,29,
755,frievald,1,29,0.0003557079999989554
755,frievald,10,29,0.0007295830000000336
755,frievald,20,29,0.0013790409999998587
1497,numpy_matmul,0,30,0.01969349999999892
1497,strassen,0,30,0.8616717080000011
1497,triple_loop_skipped,0,30,
1497,frievald,1,30,0.0009769169999991334
1497,frievald,10,30,0.008523416999999256
1497,frievald,20,30,0.016886666999999633
543,numpy_matmul,0,31,0.0008901249999997418
543,strassen,0,31,0.12027974999999991
543,triple_loop_skipped,0,31,
543,frievald,1,31,0.00024387500000067064
543,frievald,10,31,0.0005500409999985578
543,frievald,20,31,0.0010333750000004471
545,numpy_matmul,0,32,0.000926541000000114
545,strassen,0,32,0.1206308749999998
545,triple_loop_skipped,0,32,
545,frievald,1,32,0.00024120900000035306
545,frievald,10,32,0.0005525840000011328
545,frievald,20,32,0.0010465830000008225
1206,numpy_matmul,0,33,0.010839459000001384
1206,strassen,0,33,0.8712739999999997
1206,triple_loop_skipped,0,33,
1206,frievald,1,33,0.000689041999999418
1206,frievald,10,33,0.005726333000000139
1206,frievald,20,33,0.011299875000000625
1716,numpy_matmul,0,34,0.028401375000001394
1716,strassen,0,34,0.8700688749999994
1716,triple_loop_skipped,0,34,
1716,frievald,1,34,0.0012236249999997284
1716,frievald,10,34,0.011083375000000117
1716,frievald,20,34,0.022035000000000693
213,numpy_matmul,0,35,7.53749999997666e-05
213,strassen,0,35,0.002443333000000436
213,triple_loop_skipped,0,35,
213,frievald,1,35,8.354200000049161e-05
213,frievald,10,35,0.00028508300000140707
213,frievald,20,35,0.0005452500000000526
481,numpy_matmul,0,36,0.0006457080000004112
481,strassen,0,36,0.016862542000000147
481,triple_loop_skipped,0,36,
481,frievald,1,36,0.0001587920000005738
481,frievald,10,36,0.00042149999999985255
481,frievald,20,36,0.0008220830000009727
222,numpy_matmul,0,37,6.583400000081951e-05
222,strassen,0,37,0.002335707999998604
