n,k,is_probable_prime,time_ns,modexp_count,bits,time_ms
170141183460469231731687303715884105757,5,1,245000,8,128,0.245
170141183460469231731687303715884105773,5,1,216000,7,128,0.216
170141183460469231731687303715884105793,5,1,226000,28,128,0.226
170141183460469231731687303715884105829,5,1,200000,8,128,0.2
170141183460469231731687303715884105851,5,1,191000,5,128,0.191
170141183460469231731687303715884105979,5,1,192000,5,128,0.192
170141183460469231731687303715884106001,5,1,193000,13,128,0.193
170141183460469231731687303715884106031,5,1,190000,5,128,0.19
170141183460469231731687303715884106123,5,1,193000,5,128,0.193
170141183460469231731687303715884106207,5,1,198000,5,128,0.198
57896044618658097711785492504343953926634992332820282019728792003956564820063,5,1,698000,5,256,0.698
57896044618658097711785492504343953926634992332820282019728792003956564820109,5,1,713000,7,256,0.713
57896044618658097711785492504343953926634992332820282019728792003956564820243,5,1,919000,5,256,0.919
57896044618658097711785492504343953926634992332820282019728792003956564820301,5,1,731000,7,256,0.731
57896044618658097711785492504343953926634992332820282019728792003956564820411,5,1,702000,5,256,0.702
57896044618658097711785492504343953926634992332820282019728792003956564820459,5,1,693000,5,256,0.693
57896044618658097711785492504343953926634992332820282019728792003956564820507,5,1,708000,5,256,0.708
57896044618658097711785492504343953926634992332820282019728792003956564820579,5,1,765000,5,256,0.765
57896044618658097711785492504343953926634992332820282019728792003956564820789,5,1,862000,6,256,0.862
57896044618658097711785492504343953926634992332820282019728792003956564821041,5,1,714000,11,256,0.714
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042159,5,1,3753000,5,512,3.753
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042857,5,1,3404000,14,512,3.404
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503043347,5,1,3233000,5,512,3.233
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503043647,5,1,3490000,5,512,3.49
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503043911,5,1,3475000,5,512,3.475
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503044423,5,1,3567000,5,512,3.567
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503044603,5,1,3413000,5,512,3.413
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503045143,5,1,3464000,5,512,3.464
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503045251,5,1,3407000,5,512,3.407
6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503045257,5,1,3191000,13,512,3.191
89884656743115795386465259539451236680898848947115328636715040578866337902750481566354238661203768010560056939935696678829394884407208311246423715319737062188883946712432742638151109800623047059726541476042502884419075341171231440736956555270413618581675255342293149119973622969239858152417678164812112069763,5,1,18541000,5,1024,18.541
