bits,rounds,avg_time_ms,avg_modexp
122,5,0.078,2.5
122,10,0.07250000000000001,2.5
124,5,0.0755,2.0
124,10,0.073,2.0
126,5,0.072,1.0
126,10,0.068,1.0
127,5,0.0858,1.2
127,10,0.08180000000000001,1.2
128,5,0.2141,8.9
128,10,0.4218,17.9
248,5,0.211,4.0
248,10,0.198,4.0
252,5,0.192,1.0
252,10,0.221,1.0
253,5,0.207,2.0
253,10,0.216,2.0
254,5,0.20966666666666667,1.6666666666666667
254,10,0.22799999999999998,1.6666666666666667
255,5,0.21733333333333335,1.6666666666666667
255,10,0.20533333333333334,1.6666666666666667
256,5,0.7237272727272727,5.7272727272727275
256,10,1.3639999999999999,12.454545454545455
504,5,1.073,2.0
504,10,0.747,2.0
508,5,0.8534999999999999,2.5
508,10,0.765,2.5
509,5,0.785,4.0
509,10,0.819,4.0
510,5,0.8260000000000001,2.0
510,10,0.7795,2.0
511,5,0.9329999999999999,1.6666666666666667
511,10,0.8046666666666668,1.6666666666666667
512,5,3.4341818181818184,6.181818181818182
512,10,6.221727272727273,12.090909090909092
1019,5,4.22,2.0
1019,10,4.886,2.0
1020,5,4.381,2.0
1020,10,4.634333333333333,2.0
1021,5,4.82,1.0
1021,10,5.085,1.0
1022,5,4.9755,1.0
1022,10,4.5625,1.0
1023,5,5.0515,3.0
1023,10,4.6715,3.0
1024,5,17.941,6.636363636363637
1024,10,35.724,13.090909090909092
