n,witnesses,liars,total_bases,category
561,550,8,558,carmichael
1105,1074,28,1102,carmichael
1729,1566,160,1726,carmichael
2465,2394,68,2462,carmichael
2821,2550,268,2818,carmichael
6601,6270,328,6598,carmichael
8911,7128,1780,8908,carmichael
10585,9954,628,10582,carmichael
15841,15030,808,15838,carmichael
29341,25290,4048,29338,carmichael
41041,40590,448,41038,carmichael
46657,45846,808,46654,carmichael
52633,49878,2752,52630,carmichael
62745,62238,504,62742,carmichael
63973,62514,1456,63970,carmichael
75361,74910,448,75358,carmichael
101101,98850,2248,101098,carmichael
115921,111870,4048,115918,carmichael
126217,124758,1456,126214,carmichael
162401,151670,10728,162398,carmichael
172081,168030,4048,172078,carmichael
188461,184086,4372,188458,carmichael
252601,233850,18748,252598,carmichael
278545,277662,880,278542,carmichael
294409,272538,21868,294406,carmichael
314821,270270,44548,314818,carmichael
334153,314874,19276,334150,carmichael
340561,338382,2176,340558,carmichael
399001,351750,47248,398998,carmichael
410041,353430,56608,410038,carmichael
449065,438858,10204,449062,carmichael
488881,452430,36448,488878,carmichael
512461,451710,60748,512458,carmichael
530881,521430,9448,530878,carmichael
552721,548670,4048,552718,carmichael
656601,644350,12248,656598,carmichael
658801,654750,4048,658798,carmichael
670033,653994,16036,670030,carmichael
748657,744282,4372,748654,carmichael
825265,824778,484,825262,carmichael
838201,817950,20248,838198,carmichael
852841,841590,11248,852838,carmichael
997633,996174,1456,997630,carmichael
4,1,0,1,composite
6,3,0,3,composite
8,5,0,5,composite
9,6,0,6,composite
10,7,0,7,composite
12,9,0,9,composite
14,11,0,11,composite
15,12,0,12,composite
16,13,0,13,composite
18,15,0,15,composite
20,17,0,17,composite
21,18,0,18,composite
22,19,0,19,composite
24,21,0,21,composite
25,20,2,22,composite
26,23,0,23,composite
27,24,0,24,composite
28,21,4,25,composite
30,27,0,27,composite
32,29,0,29,composite
33,30,0,30,composite
34,31,0,31,composite
35,32,0,32,composite
36,33,0,33,composite
38,35,0,35,composite
39,36,0,36,composite
40,37,0,37,composite
42,39,0,39,composite
44,41,0,41,composite
45,42,0,42,composite
46,43,0,43,composite
48,45,0,45,composite
49,42,4,46,composite
50,47,0,47,composite
51,48,0,48,composite
52,45,4,49,composite
54,51,0,51,composite
55,52,0,52,composite
56,53,0,53,composite
57,54,0,54,composite
58,55,0,55,composite
60,57,0,57,composite
62,59,0,59,composite
63,60,0,60,composite
64,61,0,61,composite
65,58,4,62,composite
66,55,8,63,composite
68,65,0,65,composite
69,66,0,66,composite
70,63,4,67,composite
72,69,0,69,composite
74,71,0,71,composite
75,72,0,72,composite
76,69,4,73,composite
77,74,0,74,composite
78,75,0,75,composite
80,77,0,77,composite
81,78,0,78,composite
82,79,0,79,composite
84,81,0,81,composite
85,78,4,82,composite
86,83,0,83,composite
87,84,0,84,composite
88,85,0,85,composite
90,87,0,87,composite
91,72,16,88,composite
92,89,0,89,composite
93,90,0,90,composite
94,91,0,91,composite
95,92,0,92,composite
96,93,0,93,composite
98,95,0,95,composite
99,96,0,96,composite
100,97,0,97,composite
102,99,0,99,composite
104,101,0,101,composite
105,102,0,102,composite
106,103,0,103,composite
108,105,0,105,composite
110,107,0,107,composite
111,108,0,108,composite
112,105,4,109,composite
114,111,0,111,composite
115,112,0,112,composite
116,113,0,113,composite
117,114,0,114,composite
118,115,0,115,composite
119,116,0,116,composite
120,117,0,117,composite
121,110,8,118,composite
122,119,0,119,composite
123,120,0,120,composite
124,117,4,121,composite
125,120,2,122,composite
126,123,0,123,composite
128,125,0,125,composite
129,126,0,126,composite
130,123,4,127,composite
132,129,0,129,composite
133,114,16,130,composite
134,131,0,131,composite
135,132,0,132,composite
136,133,0,133,composite
138,135,0,135,composite
140,137,0,137,composite
141,138,0,138,composite
142,139,0,139,composite
143,140,0,140,composite
144,141,0,141,composite
145,138,4,142,composite
146,143,0,143,composite
147,144,0,144,composite
148,141,4,145,composite
150,147,0,147,composite
152,149,0,149,composite
153,150,0,150,composite
154,147,4,151,composite
