algorithm,dataset,vertices,edges,cut_size,duration_sec
Karger,cycle_50.txt,50,50,2,6.384e-06
Karger,cycle_50.txt,50,50,2,4.747e-06
Karger,cycle_50.txt,50,50,2,4.41e-06
Karger,cycle_50.txt,50,50,2,4.604e-06
Karger,cycle_50.txt,50,50,2,4.559e-06
Karger-Stein,cycle_50.txt,50,50,2,0.00899413
Karger-Stein,cycle_50.txt,50,50,2,0.00828897
Karger-Stein,cycle_50.txt,50,50,2,0.00797584
Karger-Stein,cycle_50.txt,50,50,2,0.00933577
Karger-Stein,cycle_50.txt,50,50,2,0.00813338
Karger,random_75.txt,75,286,3,2.5741e-05
Karger,random_75.txt,75,286,2,2.5638e-05
Karger,random_75.txt,75,286,4,2.39e-05
Karger,random_75.txt,75,286,2,2.6294e-05
Karger,random_75.txt,75,286,4,2.3957e-05
Karger-Stein,random_75.txt,75,286,2,0.0267908
Karger-Stein,random_75.txt,75,286,2,0.0272873
Karger-Stein,random_75.txt,75,286,2,0.0254538
Karger-Stein,random_75.txt,75,286,3,0.0254602
Karger-Stein,random_75.txt,75,286,2,0.0245488
Karger,planted_30.txt,30,107,3,5.945e-06
Karger,planted_30.txt,30,107,3,6.168e-06
Karger,planted_30.txt,30,107,4,5.173e-06
Karger,planted_30.txt,30,107,3,5.567e-06
Karger,planted_30.txt,30,107,8,1.5982e-05
Karger-Stein,planted_30.txt,30,107,3,0.00319866
Karger-Stein,planted_30.txt,30,107,3,0.00307264
Karger-Stein,planted_30.txt,30,107,3,0.00355677
Karger-Stein,planted_30.txt,30,107,3,0.00319173
Karger-Stein,planted_30.txt,30,107,3,0.00324044
Karger,cycle_400.txt,400,400,2,2.8809e-05
Karger,cycle_400.txt,400,400,2,6.3308e-05
Karger,cycle_400.txt,400,400,2,7.0384e-05
Karger,cycle_400.txt,400,400,2,5.7492e-05
Karger,cycle_400.txt,400,400,2,3.0453e-05
Karger-Stein,cycle_400.txt,400,400,2,0.610872
Karger-Stein,cycle_400.txt,400,400,2,0.525959
Karger-Stein,cycle_400.txt,400,400,2,0.522625
Karger-Stein,cycle_400.txt,400,400,2,0.498262
Karger-Stein,cycle_400.txt,400,400,2,0.510489
Karger,random_400.txt,400,7956,25,0.000170703
Karger,random_400.txt,400,7956,34,0.000150044
Karger,random_400.txt,400,7956,38,0.0001368
