category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate,median_stack_depth,max_stack_depth,median_stack_kb,max_stack_kb
duplicates,duplicates_1000.txt,1000.0,0.0,0.0,0.0,53488.0,2633.0,1.0,120.0,123,7.5625,7.75
duplicates,duplicates_10000.txt,10000.0,2.0,2.7,0.8645047258706176,5041504.5,29176.0,1.0,1057.0,1061,66.125,66.375
duplicates,duplicates_100000.txt,100000.0,203.0,205.4,7.802833493437867,500405737.5,280784.5,1.0,10240.0,10246,640.0625,640.4375
duplicates,duplicates_2000.txt,2000.0,0.0,0.0,0.0,207569.0,5920.0,1.0,220.0,225,13.8125,14.125
duplicates,duplicates_20000.txt,20000.0,8.0,9.25,2.173403830521681,20066292.0,59961.0,1.0,2040.0,2043,127.5625,127.75
duplicates,duplicates_30000.txt,30000.0,18.0,18.65,1.3088765773505306,45110466.0,80780.0,1.0,3141.0,3144,196.375,196.5625
duplicates,duplicates_40000.txt,40000.0,33.0,36.3,10.053017352752201,80152348.0,114002.0,1.0,4132.0,4136,258.3125,258.5625
duplicates,duplicates_5000.txt,5000.0,1.0,0.65,0.48936048492959294,1267041.0,14159.5,1.0,514.0,517,32.1875,32.375
duplicates,duplicates_50000.txt,50000.0,51.0,52.4,3.4397062298063212,125216147.0,139868.5,1.0,5265.5,5271,329.15625,329.5
duplicates,duplicates_60000.txt,60000.0,75.5,76.25,4.755882783735484,180212814.0,179771.5,1.0,6104.0,6106,381.5625,381.6875
duplicates,duplicates_70000.txt,70000.0,100.0,101.2,4.098780306383839,245269637.5,210397.5,1.0,7117.0,7124,444.875,445.3125
duplicates,duplicates_80000.txt,80000.0,130.0,130.65,4.625728961045232,320281678.0,247951.0,1.0,8144.0,8148,509.0625,509.3125
duplicates,duplicates_90000.txt,90000.0,165.0,167.4,6.142175167599315,405306826.0,252003.0,1.0,9070.0,9075,566.9375,567.25
