category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate,median_stack_depth,max_stack_depth,median_stack_kb,max_stack_kb
random,random_1000.txt,1000.0,0.0,0.0,0.0,10749.5,5423.0,1.0,21.0,24,1.375,1.5625
random,random_10000.txt,10000.0,0.0,0.05,0.22360679774997896,155115.5,77552.5,1.0,31.0,35,2.0,2.25
random,random_100000.txt,100000.0,5.0,5.2,0.6958523739384593,1996339.0,998559.5,1.0,39.5,44,2.53125,2.8125
random,random_2000.txt,2000.0,0.0,0.0,0.0,24877.5,12469.0,1.0,25.0,28,1.625,1.8125
random,random_20000.txt,20000.0,1.0,1.0,0.0,338825.0,171160.0,1.0,34.0,40,2.1875,2.5625
random,random_30000.txt,30000.0,1.0,1.25,0.4442616583193192,534390.0,268170.5,1.0,35.0,40,2.25,2.5625
random,random_40000.txt,40000.0,2.0,2.0,0.0,732779.5,366820.0,1.0,36.0,42,2.3125,2.6875
random,random_5000.txt,5000.0,0.0,0.0,0.0,69814.5,35523.0,1.0,27.0,31,1.75,2.0
random,random_50000.txt,50000.0,2.0,2.38,0.6479181891241981,934617.0,469910.0,1.0,36.0,47,2.3125,3.0
random,random_60000.txt,60000.0,3.0,3.2,0.4103913408340617,1117903.0,555344.0,1.0,36.0,40,2.3125,2.5625
random,random_70000.txt,70000.0,3.0,3.45,0.8870412083230167,1360251.5,694269.0,1.0,38.0,41,2.4375,2.625
random,random_80000.txt,80000.0,4.0,4.25,0.7863975156570492,1559711.0,792008.0,1.0,38.5,44,2.46875,2.8125
random,random_90000.txt,90000.0,5.0,5.35,1.348488432516786,1794522.5,917122.5,1.0,39.0,45,2.5,2.875
