category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate,median_stack_depth,max_stack_depth,median_stack_kb,max_stack_kb
sorted,sorted_1000.txt,1000.0,0.0,0.0,0.0,11128.5,1007.0,1.0,21.0,24,1.375,1.5625
sorted,sorted_10000.txt,10000.0,0.0,0.0,0.0,157983.0,9981.0,1.0,30.5,34,1.96875,2.1875
sorted,sorted_100000.txt,100000.0,2.0,2.05,0.22360679774997894,2030743.5,100021.0,1.0,41.0,45,2.625,2.875
sorted,sorted_2000.txt,2000.0,0.0,0.0,0.0,24910.5,1994.0,1.0,23.5,26,1.53125,1.6875
sorted,sorted_20000.txt,20000.0,0.0,0.0,0.0,339552.5,20006.0,1.0,33.5,38,2.15625,2.4375
sorted,sorted_30000.txt,30000.0,0.0,0.3,0.47016234598162726,534541.0,30020.0,1.0,35.0,42,2.25,2.6875
sorted,sorted_40000.txt,40000.0,0.5,0.5,0.512989176042577,738104.5,39987.0,1.0,36.5,41,2.34375,2.625
sorted,sorted_5000.txt,5000.0,0.0,0.0,0.0,72460.0,4982.0,1.0,28.0,31,1.8125,2.0
sorted,sorted_50000.txt,50000.0,1.0,1.03,0.1714466079977653,936768.5,50011.0,1.0,37.0,43,2.375,2.75
sorted,sorted_60000.txt,60000.0,1.0,1.15,0.36634754853252316,1161562.5,60021.0,1.0,37.5,42,2.40625,2.6875
sorted,sorted_70000.txt,70000.0,1.0,1.05,0.22360679774997896,1371682.5,70052.0,1.0,39.0,42,2.5,2.6875
sorted,sorted_80000.txt,80000.0,1.0,1.35,0.812727700887249,1600460.0,80055.0,1.0,38.5,43,2.46875,2.75
sorted,sorted_90000.txt,90000.0,2.0,1.7,0.5712405705774793,1805816.5,89991.0,1.0,39.5,47,2.53125,3.0
