category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate,median_stack_depth,max_stack_depth,median_stack_kb,max_stack_kb
duplicates,duplicates_1000.txt,1000.0,0.0,0.0,0.0,53488.0,2633.0,1.0,120.0,123,7.5625,7.75
duplicates,duplicates_10000.txt,10000.0,2.0,2.7,0.8645047258706176,5041504.5,29176.0,1.0,1057.0,1061,66.125,66.375
duplicates,duplicates_100000.txt,100000.0,203.0,205.4,7.802833493437867,500405737.5,280784.5,1.0,10240.0,10246,640.0625,640.4375
duplicates,duplicates_2000.txt,2000.0,0.0,0.0,0.0,207569.0,5920.0,1.0,220.0,225,13.8125,14.125
duplicates,duplicates_20000.txt,20000.0,8.0,9.25,2.173403830521681,20066292.0,59961.0,1.0,2040.0,2043,127.5625,127.75
duplicates,duplicates_30000.txt,30000.0,18.0,18.65,1.3088765773505306,45110466.0,80780.0,1.0,3141.0,3144,196.375,196.5625
duplicates,duplicates_40000.txt,40000.0,33.0,36.3,10.053017352752201,80152348.0,114002.0,1.0,4132.0,4136,258.3125,258.5625
duplicates,duplicates_5000.txt,5000.0,1.0,0.65,0.48936048492959294,1267041.0,14159.5,1.0,514.0,517,32.1875,32.375
duplicates,duplicates_50000.txt,50000.0,51.0,52.4,3.4397062298063212,125216147.0,139868.5,1.0,5265.5,5271,329.15625,329.5
duplicates,duplicates_60000.txt,60000.0,75.5,76.25,4.755882783735484,180212814.0,179771.5,1.0,6104.0,6106,381.5625,381.6875
duplicates,duplicates_70000.txt,70000.0,100.0,101.2,4.098780306383839,245269637.5,210397.5,1.0,7117.0,7124,444.875,445.3125
duplicates,duplicates_80000.txt,80000.0,130.0,130.65,4.625728961045232,320281678.0,247951.0,1.0,8144.0,8148,509.0625,509.3125
duplicates,duplicates_90000.txt,90000.0,165.0,167.4,6.142175167599315,405306826.0,252003.0,1.0,9070.0,9075,566.9375,567.25
random,random_1000.txt,1000.0,0.0,0.0,0.0,10749.5,5423.0,1.0,21.0,24,1.375,1.5625
random,random_10000.txt,10000.0,0.0,0.05,0.22360679774997896,155115.5,77552.5,1.0,31.0,35,2.0,2.25
random,random_100000.txt,100000.0,5.0,5.2,0.6958523739384593,1996339.0,998559.5,1.0,39.5,44,2.53125,2.8125
random,random_2000.txt,2000.0,0.0,0.0,0.0,24877.5,12469.0,1.0,25.0,28,1.625,1.8125
random,random_20000.txt,20000.0,1.0,1.0,0.0,338825.0,171160.0,1.0,34.0,40,2.1875,2.5625
random,random_30000.txt,30000.0,1.0,1.25,0.4442616583193192,534390.0,268170.5,1.0,35.0,40,2.25,2.5625
random,random_40000.txt,40000.0,2.0,2.0,0.0,732779.5,366820.0,1.0,36.0,42,2.3125,2.6875
random,random_5000.txt,5000.0,0.0,0.0,0.0,69814.5,35523.0,1.0,27.0,31,1.75,2.0
random,random_50000.txt,50000.0,2.0,2.38,0.6479181891241981,934617.0,469910.0,1.0,36.0,47,2.3125,3.0
random,random_60000.txt,60000.0,3.0,3.2,0.4103913408340617,1117903.0,555344.0,1.0,36.0,40,2.3125,2.5625
random,random_70000.txt,70000.0,3.0,3.45,0.8870412083230167,1360251.5,694269.0,1.0,38.0,41,2.4375,2.625
random,random_80000.txt,80000.0,4.0,4.25,0.7863975156570492,1559711.0,792008.0,1.0,38.5,44,2.46875,2.8125
random,random_90000.txt,90000.0,5.0,5.35,1.348488432516786,1794522.5,917122.5,1.0,39.0,45,2.5,2.875
reverse_sorted,reverse_sorted_1000.txt,1000.0,0.0,0.0,0.0,11024.5,4576.0,1.0,21.0,23,1.375,1.5
reverse_sorted,reverse_sorted_10000.txt,10000.0,0.0,0.0,0.0,155436.0,58531.0,1.0,29.5,33,1.90625,2.125
reverse_sorted,reverse_sorted_100000.txt,100000.0,2.0,2.2,0.6155870112510925,2019204.0,764840.0,1.0,39.0,45,2.5,2.875
reverse_sorted,reverse_sorted_2000.txt,2000.0,0.0,0.0,0.0,24666.5,10041.0,1.0,23.0,30,1.5,1.9375
reverse_sorted,reverse_sorted_20000.txt,20000.0,0.0,0.0,0.0,333031.0,133453.0,1.0,32.5,37,2.09375,2.375
reverse_sorted,reverse_sorted_30000.txt,30000.0,0.5,0.5,0.512989176042577,534336.0,207735.0,1.0,35.0,38,2.25,2.4375
reverse_sorted,reverse_sorted_40000.txt,40000.0,1.0,1.1,0.30779350562554625,733330.5,276617.0,1.0,36.0,40,2.3125,2.5625
reverse_sorted,reverse_sorted_5000.txt,5000.0,0.0,0.0,0.0,71409.5,28968.0,1.0,27.0,33,1.75,2.125
reverse_sorted,reverse_sorted_50000.txt,50000.0,1.0,1.05,0.22360679774997894,938825.0,360570.0,1.0,36.0,41,2.3125,2.625
reverse_sorted,reverse_sorted_60000.txt,60000.0,1.0,1.2,0.4103913408340617,1152878.0,429839.0,1.0,38.0,41,2.4375,2.625
reverse_sorted,reverse_sorted_70000.txt,70000.0,1.0,1.35,0.4893604849295929,1363551.5,520299.0,1.0,38.0,40,2.4375,2.5625
reverse_sorted,reverse_sorted_80000.txt,80000.0,2.0,2.05,0.22360679774997894,1569303.0,608700.0,1.0,38.0,43,2.4375,2.75
reverse_sorted,reverse_sorted_90000.txt,90000.0,2.0,2.05,0.22360679774997902,1808689.5,683504.0,1.0,38.5,42,2.46875,2.6875
sorted,sorted_1000.txt,1000.0,0.0,0.0,0.0,11128.5,1007.0,1.0,21.0,24,1.375,1.5625
sorted,sorted_10000.txt,10000.0,0.0,0.0,0.0,157983.0,9981.0,1.0,30.5,34,1.96875,2.1875
sorted,sorted_100000.txt,100000.0,2.0,2.05,0.22360679774997894,2030743.5,100021.0,1.0,41.0,45,2.625,2.875
sorted,sorted_2000.txt,2000.0,0.0,0.0,0.0,24910.5,1994.0,1.0,23.5,26,1.53125,1.6875
sorted,sorted_20000.txt,20000.0,0.0,0.0,0.0,339552.5,20006.0,1.0,33.5,38,2.15625,2.4375
sorted,sorted_30000.txt,30000.0,0.0,0.3,0.47016234598162726,534541.0,30020.0,1.0,35.0,42,2.25,2.6875
sorted,sorted_40000.txt,40000.0,0.5,0.5,0.512989176042577,738104.5,39987.0,1.0,36.5,41,2.34375,2.625
sorted,sorted_5000.txt,5000.0,0.0,0.0,0.0,72460.0,4982.0,1.0,28.0,31,1.8125,2.0
sorted,sorted_50000.txt,50000.0,1.0,1.03,0.1714466079977653,936768.5,50011.0,1.0,37.0,43,2.375,2.75
sorted,sorted_60000.txt,60000.0,1.0,1.15,0.36634754853252316,1161562.5,60021.0,1.0,37.5,42,2.40625,2.6875
sorted,sorted_70000.txt,70000.0,1.0,1.05,0.22360679774997896,1371682.5,70052.0,1.0,39.0,42,2.5,2.6875
sorted,sorted_80000.txt,80000.0,1.0,1.35,0.812727700887249,1600460.0,80055.0,1.0,38.5,43,2.46875,2.75
sorted,sorted_90000.txt,90000.0,2.0,1.7,0.5712405705774793,1805816.5,89991.0,1.0,39.5,47,2.53125,3.0
