category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate
uniform,uniform-input-1000-1-float.txt,1000.0,0.0,0.0,,10330.0,5349.0,1.0
uniform,uniform-input-1000-2-float.txt,1000.0,0.0,0.0,,12534.0,4980.0,1.0
uniform,uniform-input-1000-3-float.txt,1000.0,0.0,0.0,,10053.0,5346.0,1.0
uniform,uniform-input-10000-1-float.txt,10000.0,1.0,1.0,,157443.0,78399.0,1.0
uniform,uniform-input-10000-2-float.txt,10000.0,1.0,1.0,,147647.0,70939.0,1.0
uniform,uniform-input-10000-3-float.txt,10000.0,1.0,1.0,,155587.0,76139.0,1.0
uniform,uniform-input-100000-1-float.txt,100000.0,19.0,19.0,,1983213.0,1005853.0,1.0
uniform,uniform-input-100000-2-float.txt,100000.0,20.0,20.0,,2067231.0,1031365.0,1.0
uniform,uniform-input-100000-3-float.txt,100000.0,21.0,21.0,,2004613.0,1022288.0,1.0
uniform,uniform-input-1000000-1-float.txt,955988.0,307.0,307.0,,23007104.0,11546845.0,1.0
uniform,uniform-input-1000000-2-float.txt,1000000.0,368.0,368.0,,23973939.0,12091883.0,1.0
uniform,uniform-input-1000000-3-float.txt,1000000.0,321.0,321.0,,25684161.0,11195966.0,1.0
uniform,uniform-input-1010000-1-float.txt,955977.0,346.0,346.0,,23720282.0,12698003.0,1.0
uniform,uniform-input-1010000-2-float.txt,1010000.0,413.0,413.0,,25051030.0,12808798.0,1.0
uniform,uniform-input-1010000-3-float.txt,1010000.0,349.0,349.0,,28879419.0,11252038.0,1.0
uniform,uniform-input-1020000-1-float.txt,956081.0,295.0,295.0,,23356029.0,11528208.0,1.0
uniform,uniform-input-1020000-2-float.txt,1020000.0,281.0,281.0,,25118351.0,12908498.0,1.0
uniform,uniform-input-1020000-3-float.txt,1020000.0,415.0,415.0,,28575580.0,14037139.0,1.0
uniform,uniform-input-1030000-1-float.txt,956017.0,360.0,360.0,,22883755.0,11768528.0,1.0
uniform,uniform-input-1030000-2-float.txt,1030000.0,374.0,374.0,,25460129.0,12185523.0,1.0
uniform,uniform-input-1030000-3-float.txt,1030000.0,392.0,392.0,,27511510.0,11301317.0,1.0
uniform,uniform-input-1040000-1-float.txt,955984.0,262.0,262.0,,23862905.0,11692390.0,1.0
uniform,uniform-input-1040000-2-float.txt,1040000.0,377.0,377.0,,26416189.0,12753572.0,1.0
uniform,uniform-input-1040000-3-float.txt,1040000.0,433.0,433.0,,27747883.0,11881846.0,1.0
uniform,uniform-input-105000-1-float.txt,105000.0,21.0,21.0,,2127450.0,1154867.0,1.0
uniform,uniform-input-105000-2-float.txt,105000.0,19.0,19.0,,2047829.0,1004021.0,1.0
uniform,uniform-input-105000-3-float.txt,105000.0,20.0,20.0,,2106785.0,1081147.0,1.0
uniform,uniform-input-1050000-1-float.txt,956080.0,287.0,287.0,,22985593.0,11989894.0,1.0
